Category,Correlation_Video_Count,Correlation_Average_View_Count,Video_Intercept,Video_Coefficient,View_Intercept,View_Coefficient
Autos&Vehicles,1.0,1.0,10080281.690140847,3755.8685446009376,-1106437.4663225077,0.48207541177977764
Comedy,0.03517932000277197,0.03074330128259964,19705307.826923165,146.17061585208137,19739198.881480437,0.016163182782271034
Education,-0.13519055192436472,0.00880656044096016,30127527.567211445,-338.88980950841875,28771863.566657484,0.002556551588251119
Entertainment,0.07328635336566681,0.09645039780912384,20111433.673168153,30.346960210682017,20265444.04815723,0.042217563514999945
Film&Animation,0.4154293357301208,0.09001430552953091,21227730.423779868,923.5361750550497,23991750.343181178,0.010351411153238576
Gaming,-0.02481749784665525,0.15577101255601022,20616274.285660617,-19.560430879123565,18905597.92812179,0.570559728956661
Howto&Style,0.5051766358159939,0.6865914222095595,12900310.625645159,2979.322743865824,14601867.994281583,2.3580790172046577
Movies,1.0,1.0,20206466.575716235,1446.1118690313779,20838486.9269979,0.4170091911972979
Music,0.21532137982417918,0.03040492171925121,23966787.398220737,672.7292947593469,25759201.61646137,0.0124315746652765
News&Politics,0.17937238257071225,0.272026919818815,17750771.225629594,18.47134905499832,18327951.450636007,3.26014679086279
Nonprofits&Activism,1.0,-0.9999999999999999,15766186.938627599,113.89226826806097,39813479.914352365,-35.15387811191716
People&Blogs,0.07707552682673055,0.06801129448734157,20482433.253878824,25.561941425716935,20316345.44518936,0.07213366351328232
Pets&Animals,-0.8953049316122872,0.4952159887848043,21128215.009818614,-580.6537584730114,15364126.472014463,0.5862491666652703
Science&Technology,0.11885529522204286,0.08321412055734893,17382162.78027433,223.25429619274212,17471311.34275366,0.10413575129457832
Shows,0.8510333237239978,0.25051130275946343,19775946.639847476,814.0509440688451,29555703.090431575,26.907509137340647
Sports,0.6558394261529675,0.21908543592510843,16520068.192420205,756.8947735136567,23222585.559781246,3.9421136872872173
Trailers,-1.0,1.0,45436912.751677856,-1006.7114093959733,33621186.8913789,1.3099189684126138
Travel&Events,,,12400000.0,0.0,12400000.0,0.0
